timestamp,book,market,player_id,team_id,line,over_odds,under_odds
2025-09-13T10:47:00.657216,draftkings,player_pass_yds,00-0031382,NO,272.4,100,-100
2025-09-13T10:47:00.657233,draftkings,player_rush_yds,00-0031382,NO,59.2,-110,-110
2025-09-13T10:47:00.657241,draftkings,player_rec,00-0031382,NO,7.0,105,-105
2025-09-13T10:47:00.657247,draftkings,player_rec_yds,00-0031382,NO,41.6,105,-105
2025-09-13T10:47:00.657254,draftkings,player_ints,00-0031382,NO,1.5,-120,-110
2025-09-13T10:47:00.657259,fanduel,player_pass_yds,00-0031382,NO,289.0,100,-100
2025-09-13T10:47:00.657265,fanduel,player_rush_yds,00-0031382,NO,58.3,100,-100
2025-09-13T10:47:00.657270,fanduel,player_rec,00-0031382,NO,5.8,-105,-110
2025-09-13T10:47:00.657276,fanduel,player_rec_yds,00-0031382,NO,53.5,-110,-110
2025-09-13T10:47:00.657281,fanduel,player_ints,00-0031382,NO,0.6,-105,-110
