timestamp,book,market,player_id,team_id,line,over_odds,under_odds
2025-09-10T23:41:02.036178,draftkings,player_pass_yds,00-0031558,ARI,291.3,100,-100
2025-09-10T23:41:02.036192,draftkings,player_rush_yds,00-0031558,ARI,52.5,100,-100
2025-09-10T23:41:02.036199,draftkings,player_rec,00-0031558,ARI,4.6,100,-100
2025-09-10T23:41:02.036206,draftkings,player_rec_yds,00-0031558,ARI,70.5,100,-100
2025-09-10T23:41:02.036212,draftkings,player_ints,00-0031558,ARI,0.8,-115,-110
2025-09-10T23:41:02.036217,fanduel,player_pass_yds,00-0031558,ARI,260.6,-105,-110
2025-09-10T23:41:02.036223,fanduel,player_rush_yds,00-0031558,ARI,65.9,-115,-110
2025-09-10T23:41:02.036228,fanduel,player_rec,00-0031558,ARI,6.5,-105,-110
2025-09-10T23:41:02.036233,fanduel,player_rec_yds,00-0031558,ARI,58.3,105,-105
2025-09-10T23:41:02.036238,fanduel,player_ints,00-0031558,ARI,1.5,105,-105
