timestamp,book,market,player_id,team_id,line,over_odds,under_odds
2025-09-09T23:26:06.106393,draftkings,player_pass_yds,00-0030288,HOU,249.9,100,-100
2025-09-09T23:26:06.106414,draftkings,player_rush_yds,00-0030288,HOU,77.8,100,-100
2025-09-09T23:26:06.106422,draftkings,player_rec,00-0030288,HOU,6.0,-105,-110
2025-09-09T23:26:06.106429,draftkings,player_rec_yds,00-0030288,HOU,48.2,105,-105
2025-09-09T23:26:06.106436,draftkings,player_ints,00-0030288,HOU,0.8,-110,-110
2025-09-09T23:26:06.106442,fanduel,player_pass_yds,00-0030288,HOU,284.2,-105,-110
2025-09-09T23:26:06.106448,fanduel,player_rush_yds,00-0030288,HOU,61.1,105,-105
2025-09-09T23:26:06.106458,fanduel,player_rec,00-0030288,HOU,3.5,100,-100
2025-09-09T23:26:06.106465,fanduel,player_rec_yds,00-0030288,HOU,66.0,105,-105
2025-09-09T23:26:06.106470,fanduel,player_ints,00-0030288,HOU,1.4,-105,-110
2025-09-09T23:26:06.106476,betmgm,player_pass_yds,00-0030288,HOU,228.6,-120,-110
2025-09-09T23:26:06.106481,betmgm,player_rush_yds,00-0030288,HOU,37.8,-105,-110
2025-09-09T23:26:06.106486,betmgm,player_rec,00-0030288,HOU,6.7,-110,-110
2025-09-09T23:26:06.106491,betmgm,player_rec_yds,00-0030288,HOU,56.4,100,-100
2025-09-09T23:26:06.106496,betmgm,player_ints,00-0030288,HOU,1.2,100,-100
