timestamp,book,market,player_id,team_id,line,over_odds,under_odds
2025-09-11T23:09:40.514822,draftkings,player_pass_yds,00-0031547,NE,256.7,-120,-110
2025-09-11T23:09:40.514841,draftkings,player_rush_yds,00-0031547,NE,39.5,-105,-110
2025-09-11T23:09:40.514849,draftkings,player_rec,00-0031547,NE,7.2,-110,-110
2025-09-11T23:09:40.514855,draftkings,player_rec_yds,00-0031547,NE,56.9,-105,-110
2025-09-11T23:09:40.514861,draftkings,player_ints,00-0031547,NE,0.8,-120,-110
2025-09-11T23:09:40.514866,fanduel,player_pass_yds,00-0031547,NE,246.6,105,-105
2025-09-11T23:09:40.514872,fanduel,player_rush_yds,00-0031547,NE,54.9,-115,-110
2025-09-11T23:09:40.514876,fanduel,player_rec,00-0031547,NE,3.8,-110,-110
2025-09-11T23:09:40.514881,fanduel,player_rec_yds,00-0031547,NE,52.3,100,-100
2025-09-11T23:09:40.514886,fanduel,player_ints,00-0031547,NE,1.0,-120,-110
